"EUNISCode","B1","B3","B4","B5","B6","D2","D3","D5","D6","L2sb","L2sed","O1","O3","O4","P1","P2","P3","P6","P7","P8"
"A1.111",NA,"Not sensitive","Low","Medium","Medium",NA,"Not sensitive","Low","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.112",NA,"Not sensitive","Low","Medium","Medium",NA,"Not sensitive","Medium","High","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.113",NA,"Not sensitive","Low","Medium","Medium",NA,"Low","Medium","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.1132",NA,"Not sensitive","Low","Medium","Medium",NA,"Low","Medium","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.1133",NA,"Not sensitive","Low","Low","Not sensitive",NA,"Low","Medium","Low","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.121",NA,"Medium","Not sensitive","Medium","Medium",NA,"Not sensitive","Not sensitive","Medium","High",NA,"Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Low","Not sensitive"
"A1.122",NA,"Not sensitive","Not sensitive","Low","Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.123",NA,"High","Not sensitive","Low","Medium",NA,"Not sensitive","Not sensitive","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.124",NA,"High","Not sensitive","Low","Medium",NA,"Low","Low","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.125",NA,"High","Not sensitive","Low","Medium",NA,"Not sensitive","Low","Low","High",NA,"Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive"
