"EUNISCode","B1","B3","B5","B6","D1","D2","D6","O1","O3","O4","P1","P2","P3","P8","NA"
"A1.111",NA,"Not sensitive","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.112",NA,"Not sensitive","Medium","Medium",NA,NA,"High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.113",NA,"Not sensitive","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.1132",NA,"Not sensitive","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.1133",NA,"Not sensitive","Low","Not sensitive",NA,NA,"Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.121",NA,"Medium","Medium","Medium",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.122",NA,"Not sensitive","Low","Medium",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.123",NA,"High","Low","Medium",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.124",NA,"High","Low","Medium",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.125",NA,"High","Low","Medium",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.126",NA,"High","Low","High",NA,NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive","Not sensitive",NA
"A1.127","Not sensitive","Not sensitive","High","Low","High","High","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive",NA,NA
