"EUNISCode","B1","B3","B5","D2","D6","O1","O3","O4","P1","P2","P3"
"A1.111",NA,"Not sensitive","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.112",NA,"Not sensitive","Medium",NA,"High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.113",NA,"Not sensitive","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.1132",NA,"Not sensitive","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.1133",NA,"Not sensitive","Low",NA,"Low","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.121",NA,"Medium","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.122",NA,"Not sensitive","Low",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.123",NA,"High","Low",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.124",NA,"High","Low",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.125",NA,"High","Low",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.126",NA,"High","Low",NA,"Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.127","Not sensitive","Not sensitive","High","High","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.151",NA,"Insufficient evidence","High",NA,"High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.152",NA,"Medium","Medium",NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.153",NA,"Medium","Medium","Medium","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.21",NA,"Not sensitive","Not sensitive",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.211",NA,"Insufficient evidence",NA,NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.212",NA,"Not sensitive","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.213",NA,"Not sensitive","Not sensitive",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.214",NA,"Medium","Medium",NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.2141",NA,"Medium","Medium",NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.2142",NA,"High","Low","Medium","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.2143","Not sensitive","Not sensitive","Medium","High","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.215",NA,"Not sensitive","Not sensitive","Medium","Low","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.221",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Not sensitive","Not sensitive","Not sensitive","Not sensitive"
"A1.222",NA,"High","Medium",NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.223","Not sensitive","High","Medium","High","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.311",NA,"Insufficient evidence","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.312",NA,"Not sensitive","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.3121",NA,"Not sensitive","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.3122",NA,"Not sensitive","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.313",NA,"Medium","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.3131",NA,"Medium","Medium",NA,"Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.3132",NA,"Medium","Medium","Medium","Medium","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.314",NA,"Insufficient evidence","High",NA,"High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.3141",NA,"Insufficient evidence","High",NA,"High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.3142",NA,"Insufficient evidence","High","High","High","Not assessed",NA,"Insufficient evidence","Not sensitive","Not sensitive","Not sensitive"
"A1.315",NA,"Medium","Medium",NA,"Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
"A1.3152",NA,"Medium","Medium","High","Medium","Not assessed",NA,"Low","Not sensitive","Not sensitive","Not sensitive"
