"","A5.22","A1.21","A2.22","A2.41","A2.72","A4.12","A4.22","A4.25","A4.71","A5.21","A5.31","A5.41","A5.51","A5.12","sbgr","h.lvl","l.lvl","eunis.code.gis"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d","4","3","A2.3"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d","4","3","A2.1"
"3",NA,NA,"A2.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d","4","3","A2.2"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d","4","3","A1.1"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A5.31",NA,NA,NA,"4d","4","3","A5.3"
"6",NA,NA,NA,"A2.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d","4","3","A2.4"
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d","4","3","A3.1"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d","4","3","A2.5"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d","4","3","A1.3"
"10",NA,"A1.21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d","4","3","A1.2"
"11","A5.22",NA,NA,NA,NA,NA,NA,NA,NA,"A5.21",NA,NA,NA,NA,"4d","4","3","A5.2"
"12",NA,NA,NA,NA,NA,NA,"A4.22","A4.25",NA,NA,NA,NA,NA,NA,"4d","4","3","A4.2"
"13",NA,NA,NA,NA,NA,"A4.12",NA,NA,NA,NA,NA,NA,NA,NA,"4d","4","3","A4.1"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d","4","3","A3.2"
